source,category,gender,age_unit,age,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,952,1,92.862300000000005,0.037409999999999999,82.44,85.914000000000001,89.388000000000005,92.861999999999995,96.335999999999999,99.81,103.28400000000001
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,953,1,92.885800000000003,0.037420000000000002,82.457999999999998,85.933999999999997,89.41,92.885999999999996,96.361999999999995,99.837000000000003,103.313
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,954,1,92.909300000000002,0.037429999999999998,82.477000000000004,85.953999999999994,89.432000000000002,92.909000000000006,96.387,99.864000000000004,103.342
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,955,1,92.9328,0.037429999999999998,82.497,85.975999999999999,89.453999999999994,92.933000000000007,96.411000000000001,99.89,103.36799999999999
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,956,1,92.956199999999995,0.037440000000000001,82.515000000000001,85.995999999999995,89.475999999999999,92.956000000000003,96.436000000000007,99.917000000000002,103.39700000000001
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,957,1,92.979699999999994,0.037449999999999997,82.533000000000001,86.016000000000005,89.498000000000005,92.98,96.462000000000003,99.944000000000003,103.426
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,958,1,93.003100000000003,0.03746,82.551000000000002,86.034999999999997,89.519000000000005,93.003,96.486999999999995,99.971000000000004,103.455
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,959,1,93.026499999999999,0.037470000000000003,82.569000000000003,86.055000000000007,89.540999999999997,93.025999999999996,96.512,99.998000000000005,103.48399999999999
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,960,1,93.049899999999994,0.037479999999999999,82.587000000000003,86.075000000000003,89.561999999999998,93.05,96.537000000000006,100.02500000000001,103.512
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,961,1,93.0732,0.037490000000000002,82.605000000000004,86.094999999999999,89.584000000000003,93.072999999999993,96.563000000000002,100.05200000000001,103.541
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,962,1,93.096599999999995,0.037499999999999999,82.623000000000005,86.114000000000004,89.605000000000004,93.096999999999994,96.587999999999994,100.07899999999999,103.57
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,963,1,93.119900000000001,0.037510000000000002,82.641000000000005,86.134,89.626999999999995,93.12,96.613,100.10599999999999,103.599
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,964,1,93.143199999999993,0.037519999999999998,82.659000000000006,86.153999999999996,89.647999999999996,93.143000000000001,96.638000000000005,100.133,103.627
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,965,1,93.166499999999999,0.037530000000000001,82.677000000000007,86.173000000000002,89.67,93.165999999999997,96.662999999999997,100.16,103.65600000000001
